Code,Name,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Anual
806,MOQUEGUA,-70.93167,-17.16917,1420,2.281,2.79,0.986,0.229,0.105,0.055,0.205,0.05,0.145,0.035,0.05,0.265,7.157
807,CALANA,-70.18611,-17.94889,848,2.176,2.6,1.31,0.376,0.49,1.315,1.74,1.925,1.95,0.28,0.52,0.865,15.138
822,ISLA SUANA,-68.85094,-16.33022,3830,198.276,181.81,119.243,45.314,13.333,7.095,11.675,15.325,21.54,34.53,44.16,111.035,791.652
846,PUNTA COLES,-71.37361,-17.69867,30,0.4,1.181,0.105,0.01,0.057,0.245,0.81,0.435,0.955,0.205,0.065,0.165,4.495
853,LOCUMBA,-70.76222,-17.60972,559,0.829,1.633,0.362,0.248,0.138,0.185,0.295,0.08,0.17,0.02,0.055,0.205,4.171
860,CHUAPALCA,-69.64361,-17.305,4250,113.7,124.952,69.686,17.567,2.433,1.525,3.39,4.485,1.725,6.74,14.745,60.185,416.714
877,TARATA,-70.03389,-17.47417,3175,45.686,59.224,29.676,2.448,1.829,0.505,2,1.2,2.225,1.2,1.125,15.135,161.138
880,JULI,-69.45992,-16.20378,3812,213.562,197.976,139.767,49.443,11.79,4.695,9.505,13.09,19.675,34.83,38.42,123.16,844.324
881,PIZACOMA,-69.36856,-16.90703,1080,137.838,145.448,78.329,19.848,4.824,2.885,6.585,8.715,7.06,15.64,17.4,83.62,521.433
882,TAHUACO YUNGUYO ,-69.07472,-16.30783,3890,171.414,161.89,101.848,35.69,10.881,7.195,9.99,14.135,20.975,35.425,39.415,92.32,690.729
883,DESAGUADERO,-69.03883,-16.56335,3860,164.452,155.571,93.224,27.633,6.871,5.06,8.76,9.45,14.885,26.23,32.57,85.705,621.714
901,JORGE BASADRE,-70.25153,-18.02689,560,1.09,1.452,0.676,0.257,0.243,1.21,1.89,2.845,2.5,0.41,0.345,0.545,13
1000005,Visviri,-69.4831,-17.595,4080,86.29,91.038,44.9,11.457,2.986,2.1,3.93,4.45,1.63,3.435,6.37,31.595,287.633
1001005,Caquena,-69.2017,-18.0542,4400,120.286,115.376,55.395,12.233,1.276,2.055,3.525,2.025,0.255,1.465,5.1,46.585,362.671
1010007,Chungara Reten,-69.1383,-18.2808,4570,84.143,83.938,37.648,7.319,1.852,1.61,4.51,2.68,0.64,0.975,4.14,31.325,258.595
1010010,Chungara Ajata,-69.1833,-18.2353,4585,108.671,98.548,45.919,12.048,2.29,1.415,4.605,2.87,0.51,2.71,8.53,38.07,323.39
1020014,Cotacotani,-69.2328,-18.1836,4550,113.29,108.767,52.705,15.214,1.61,1.445,3.655,2.235,1.085,3.17,6.96,45.63,352.71
1020016,Chucuyo Reten,-69.2956,-18.2164,4400,112.352,119.024,59.329,13.986,0.933,0.59,2.915,1.11,1.505,1.865,5.35,37.065,353.624
1020017,Parinacota Ex Endesa,-69.2683,-18.2042,4420,95.071,94.267,50.233,10.014,0.971,0.55,3.03,0.805,0.875,1.69,5.28,34.88,295.424
1021002,Rio Guallatire En Guallatire,-69.1494,-18.4931,4280,78.667,75.533,41.162,7.871,1.371,0.84,5.155,6.34,0.82,1.075,4.165,25.525,246.433
1021007,Guallatire,-69.1547,-18.4983,4240,61.848,64.79,37.324,5.557,0.776,0.28,4.43,2.605,1.405,0.715,2.56,19.675,200.457
1030003,Chilcaya,-69.0844,-18.7939,4270,64.438,56.295,28.81,6.243,0.905,1.115,5.12,0.57,0.21,0.755,2.95,19.685,185.648
1041003,Colchane (T_ Isluga),-68.6378,-19.2764,3700,39.186,38.314,14.795,5.581,0.295,0.86,2.815,0.115,0.355,0.89,0.595,8.495,111.624
1041004,Enquelca (Ex Caraguano),-68.8044,-19.2289,3900,29.424,36.395,15.624,2.743,0.838,0.72,1.75,0.475,0.48,0.435,0.675,5.87,94.933
1042001,Cancosa,-68.6017,-19.8553,3930,44.295,47.581,17.981,4.286,0.862,1.45,1.145,0.85,0.35,0.33,0.42,10.61,129.438
1042002,Huaytani,-68.5706,-20.0003,3950,41.276,46.629,19.005,2.31,0.805,1.485,0.945,0.21,0.32,0.23,0.87,12.305,125.61
1044001,Rio Cancosa En El Tambo,-68.5858,-19.8586,4000,36.967,41.557,15.233,2.662,0.838,1.395,1.3,0.455,0.38,0.4,1.205,10.55,112.195
1050007,Coyacagua,-68.8075,-20.0531,4013,45.3,54.7,20.638,3.843,1.405,1.495,2.13,0.46,0.695,0.415,1.74,10.275,142.276
1050009,Diablo Marca,-68.9681,-20.1044,4585,25.681,35.795,12.924,1.91,0.805,0.92,2.23,0.35,0.2,0.135,0.61,5.655,86.733
1050010,Sillillica,-68.8936,-20.3219,3840,34.029,50.024,17.495,2.857,1.29,1.345,2.405,0.455,0.315,0.155,0.87,8.22,118.805
1051004,Altos Del Huasco,-68.7703,-20.1703,4044,18.09,23.714,8.443,1.362,0.871,0.755,0.61,0.245,0.15,0.09,0.52,3.99,58.538
1080001,Ujina,-68.6275,-20.9714,4300,34.476,40.429,13.386,2.243,2.995,0.87,1.965,0.525,0.215,0.365,0.78,8.82,106.424
1200002,Villa Industrial (Tacora),-69.7244,-17.7719,4080,58.09,53.89,34.595,4.957,1.19,0.51,1.955,3.595,0.565,0.765,1.075,14.215,174.324
1200003,Humapalca,-69.7039,-17.835,3980,81.086,79.938,49.21,6.838,1.414,1.18,2.95,1.885,0.94,1.33,1.76,24.485,251.371
1201003,Rio Lluta En Alcerreca,-69.6331,-18.0036,3550,41.719,38.986,22.719,3.981,0.938,0.36,1.945,0.615,0.605,0.525,0.795,12.365,124.733
1201005,Rio Caracarani En Humapalca,-69.6994,-17.8428,3908,72.114,66.852,41.657,5.038,1.581,0.935,2.485,1.505,0.905,0.93,1.205,19.835,213.719
1201010,Alcerreca,-69.6594,-17.9931,3990,45.005,43.429,25.348,4.214,1.033,0.695,2.31,0.855,0.11,0.24,0.365,11.265,134.114
1202010,Putre_D,-69.5603,-18.1992,3545,40.848,43.876,18.91,1.857,0.91,0.335,2.19,0.4,0.8,0.51,0.315,10.84,121.057
1202012,Putre_C (Dcp),-69.5589,-18.195,3560,46.476,47.471,21.495,2.448,1.733,0.45,2.46,0.29,0.95,0.295,0.545,13.665,137.39
1300006,Central Chapiquia,-69.5481,-18.3722,3350,34.276,41.038,21.252,2.519,0.157,0.365,1.57,0.295,0.085,0.17,0.25,10.46,111.81
